region speed urban rural population longitude latitude area netizen_rate urban_netizen rural_netizen total_netizen
Liechtenstein 132.99 5 33 38 9.555373 47.166 160 99.54661245 4.9773306225 32.8503821085 37.827712731
Portugal 132.39 6711 3580 10291 -8.224454 39.399872 91605.6015625 82.30902804 5523.758871764399 2946.6632038320004 8470.4220755964
Netherlands 128.64 15631 1454 17084 5.291266 52.132633 33670 92.05298013 14388.801324120299 1338.4503310902 15726.331125409199
Israel 128.04 7812 641 8453 34.851612 31.046051 21640 90.12734091 7040.7478718892 577.7162552331 7618.4641271223
China_Taiwan_Province_of_China 125.73 18518 5176 23694 120.960515 23.69781 36197 91 16851.38 4710.16 21561.54
Republic_of_Korea 122.04 41678 9486 51164 127.766922 35.907757 97520 97.57132662 40665.7775086836 9255.616043173199 49921.3935518568
Uruguay 118.06 3308 162 3470 -55.765835 -32.522779 175020 86.1 2848.188 139.482 2987.67
Panama 116.85 2818 1344 4163 -80.782127 8.537981 74177 64.25 1810.565 863.52 2674.7275
Norway 114.35 4403 950 5353 8.468946 60.472024 365107.84375 99.0000036 4358.970158508 940.5000342 5299.4701927080005
Sweden 110.84 8728 1255 9983 18.643501 60.128161 407310 88.30778589 7707.5035524792 1108.2627129195 8815.7662653987
Poland 106.40 22885 15220 38105 19.145136 51.919438 306170 85.37490811 19538.0477209735 12994.061014342 32532.1087353155
Brazil 106.06 182546 28321 210868 -51.92528 -14.235004 8358140 81.34269353 148487.8333312738 23037.064234631303 171525.7109928404
Andorra 105.08 68 9 77 1.601554 42.546245 470 91.56746703 62.2658775804 8.2410720327 70.5069496131
Republic_of_Moldova 104.66 1723 2318 4041 28.369885 47.411631 32885.30078125 76.12451989 1311.6254777047 1764.5663710502 3076.1918487549
Luxembourg 96.96 537 53 590 6.129583 49.815273 2430 98.82696739 530.7008148843 52.378292716699995 583.0791076009999
Malta 96.18 409 23 432 14.375416 35.937496 320 87.46977302 357.7513716518 20.118047794600002 377.8694194464
Finland 96.13 4732 810 5543 25.748151 61.92411 303920 92.80806082 4391.6774380024 751.745292642 5144.3508112526
Malaysia 93.81 24364 7679 32042 101.975766 4.210484 328550 96.7514278 23572.517869191997 7429.542140762001 31001.092495676
Lithuania 93.77 1947 930 2876 23.881275 55.169438 62630 86.93054425 1692.5376965474998 808.454061525 2500.1224526299998
Colombia 93.46 39956 9508 49465 -74.297333 4.570868 1109500 69.79 27885.292400000002 6635.6332 34521.6235
Viet_Nam 91.24 34659 61832 96491 108.277199 14.058324 310070 74.20999985 25720.443848011502 45885.527107252004 71605.9709552635
Philippines 90.57 49962 56550 106512 121.774017 12.879721 298170 49.8 24881.075999999997 28161.9 53042.975999999995
Qatar 89.95 2672 23 2695 51.183884 25.354826 11490 99.65284913 2662.7241287536 22.920155299900003 2685.6442840535
Saudi_Arabia 89.20 28133 5421 33554 45.079162 23.885942 2149690 100 28133.0 5421.0 33554.0
Trinidad_and_Tobago 89.19 730 643 1373 -61.222503 10.691803 5130 70.6 515.3799999999999 453.95799999999997 969.3379999999999
Belgium 88.30 11269 230 11499 4.469936 50.503887 30280 92.78867618 10456.355918724199 213.41395521399997 10669.7698739382
Slovenia 86.10 1135 946 2081 14.995463 46.151241 20136.400390625 89.00399524 1010.1953459739999 841.9777949703999 1852.1731409443998
Jordan 84.84 9010 893 9904 36.238414 30.585164 88780 65.2 5874.52 582.2360000000001 6457.408
Saint_Lucia 84.38 34 146 180 -60.978893 13.909444 610 53.3 18.122 77.818 95.94
Ireland 84.12 3035 1769 4804 -8.24389 53.41291 68890 91.99989097 2792.1966909395 1627.4780712593001 4419.6747621988
Dominica 83.92 52 22 74 -61.370976 15.414999 750 69.61966879 36.20222777080001 15.3163271338 51.5185549046
Germany 83.20 63622 18671 82293 10.451526 51.165691 349380 91.43060973 58169.98252242061 17071.0091426883 75240.9916651089
Barbados 80.40 89 197 286 -59.543198 13.193887 430 81.76077839 72.7670927671 161.0687334283 233.83582619540002
Latvia 79.60 1315 615 1930 24.603189 56.879635 62090 91.17964988 1199.012395922 560.754846762 1759.767242684
Peru 79.31 25360 7192 32552 -75.015152 -9.189967 1280000 71.10782643 18032.944782648 5114.0748768456 23147.019659493602
Russian_Federation 78.03 107157 36808 143965 105.318756 61.52401 16376870 88.21384578 94527.3107224746 32469.7523547024 126997.063077177
Austria 77.61 5102 3650 8752 14.550072 47.516231 82520 92.52915104 4720.8372860608 3377.31401296 8098.1512990208
United_Kingdom 74.23 55521 11052 66574 -3.435973 55.378051 241930 94.81820132 52644.0135548772 10479.3076098864 63124.2693467768
